date,humidity,temperature,pressure,pm2.5_alt,scattering_coefficient,visual_range,0.3_um_count,5.0_um_count,pm1.0_atm,pm2.5_atm,pm2.5_cf_1,pm10.0_atm,sensor_id,last_modified,sensor_date_created,sensor_last_seen,private,name,location_type,model,hardware,uptime,pa_latency,memory,position_rating,sensor_latitude,sensor_longitude,altitude,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,unique_incident_count,average_size,list_of_sizes,average_distance,list_of_distances,list_of_rel_direction,target,average_size_stand,average_distance_stand,Fire_Indicator,log_0.3_um_count
2021-03-10,55.463,52.255,981.009,2.6,7.7,202.4,514.8225,0.8400000000000001,2.6005000000000003,4.49,4.9995,5.241,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,6.2,3.3,8.9,9.7,0.0,1.0,6.8,,1013.4,,0.0,0.0,,0.0,,,0,1,1,0.0,6.245762714054596
2021-05-03,22.423,80.133,983.245,1.0,3.6,271.5,242.6125,0.3605,0.3985,0.8565,0.8565,1.1135,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,22.3,16.7,31.1,0.0,0.0,358.0,20.2,,1014.2,,0.0,0.0,,0.0,,,0,1,1,0.0,5.495578848148143
2021-10-06,22.079,80.469,980.458,3.2,11.5,163.7,768.113,0.5495,3.4875,4.955,4.955,5.355499999999999,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,20.7,14.4,24.4,0.0,0.0,187.0,9.7,,1012.8,,5.0,4.8,"[5, 5, 5, 5, 4]",108.04397787763972,"[124.39201655297842, 113.0101898972513, 73.12314322601142, 98.8423306610904, 130.85220905086703]","['south-east', 'north-east', 'north-west', 'north-west', 'north-west']",1,0,0,0.0,6.645237902793645
2021-07-08,15.421,99.254,976.699,2.9,11.4,165.0,757.8095,0.3389999999999999,2.93,3.9745,3.9745,4.2185,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,31.1,19.4,41.7,0.0,0.0,76.0,6.8,,1007.6,,4.0,4.25,"[4, 4, 4, 5]",112.63557688279927,"[95.40215435289892, 122.91556434708394, 30.328560292325033, 201.8960285388892]","['north-east', 'north-east', 'north-east', 'south-east']",1,0,0,0.0,6.631750757750543
2021-05-20,18.964,70.1,982.203,0.4,1.5,330.1,100.8105,0.138,0.041,0.113,0.122,0.194,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,15.8,10.0,20.6,0.0,0.0,342.0,16.9,,1015.0,,0.0,0.0,,0.0,,,0,1,1,0.0,4.6231132422159735
2021-11-14,43.254,71.739,989.613,5.0,17.0,128.1,1135.819,0.9495,5.9735,8.854,8.854,9.7115,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,14.0,9.4,19.4,0.0,0.0,359.0,0.7,,1021.1,,0.0,0.0,,0.0,,,0,1,1,0.0,7.035989290225205
2021-04-07,34.806,74.381,985.161,4.3,14.2,144.1,947.882,1.1705,4.691000000000001,7.305,7.305,8.225000000000001,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,16.3,8.3,22.8,0.0,0.0,75.0,6.8,,1017.4,,0.0,0.0,,0.0,,,0,1,1,0.0,6.855284449466881
2021-09-11,29.59,91.61,982.676,52.3,151.8,20.3,10116.9845,6.8935,43.443,65.62299999999999,92.3255,71.0775,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,26.5,18.3,35.6,0.0,0.0,2.0,6.1,,1013.5,,7.0,4.857142857142857,"[5, 5, 5, 5, 5, 5, 4]",113.77300994889552,"[201.8960285388892, 124.39201655297842, 54.29515171518092, 113.0101898972513, 73.12314322601142, 98.8423306610904, 130.85220905086703]","['south-east', 'south-east', 'south-west', 'north-east', 'north-west', 'north-west', 'north-west']",1,0,0,0.0,9.222069762927402
2021-10-28,45.881,74.394,991.163,3.1,10.4,173.9,690.6614999999999,0.7095,3.221,4.992,5.0595,5.670999999999999,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,17.7,10.6,26.1,0.0,0.0,339.0,7.2,,1020.3,,1.0,4.0,[4],130.85220905086703,[130.85220905086703],['north-west'],1,0,0,0.0,6.539096674089271
2021-07-02,24.332,98.458,978.177,37.0,105.8,28.5,7052.8865000000005,3.6195,29.747,43.8425,62.1815,46.3015,19989,2018-12-24 20:07:16,2018-11-27 03:13:30,2023-11-28 02:14:34,0,Rock Creek,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,11859,603.0,16456,5,40.609707,-122.49038,914,30.1,20.6,40.0,0.0,0.0,38.0,6.1,,1008.9,,3.0,4.0,"[4, 4, 4]",82.88209299743596,"[95.40215435289892, 122.91556434708394, 30.328560292325033]","['north-east', 'north-east', 'north-east']",1,6,6,2.0,8.86133402050494
